Parent,Name,URL
Buying Houses,Suumo,http://suumo.jp/
Buying Houses,Suumo Magazine,http://suumo.jp/edit/series/magazine/
Buying Houses,Toshin-ni-Sumu,http://suumo.jp/edit/series/toshin/
Buying Houses,Suumo Shinchiku Mansion,http://suumo.jp/edit/series/mansion_honshi/
Buying Houses,Suumo Counter Shinchiku Mansion,http://www.suumocounter.jp/mansion/
Custom-Built Houses,Chumon Jutaku by Suumo,http://suumo.jp/edit/series/chumon/
Custom-Built Houses,Suumo Counter Chumon Jutaku,http://www.suumocounter.jp/chumon/?vos=dsmcrect20110415006
Custom-Built Houses,Suumo,http://suumo.jp/
Custom-Built Houses,Suumo Housing,http://suumo.jp/edit/series/crr/housing/
Renovation,Suumo,http://suumo.jp/
Renovation,Good Reform,http://www.goodreform.jp/
Rent,Office Movement,http://www.officemovement.com/
Rent,Suumo,http://suumo.jp/
Rent,Suumo Magazine,http://suumo.jp/edit/series/magazine/
Local Info,Suumo Hikkoshi Mitsumori,http://hikkoshi.suumo.jp/
Bridal,Zexy,http://zexy.net/
Bridal,Zexy Overseas Wedding,http://zexy.net/abroad/
Bridal,Zexy Resort Wedding,http://zexy.net/resort/
Bridal,Zexy Premier,http://zexy.net/mar/honshi/premier.html
Bridal,zexy insurance counsering counter,http://hoken.zexy.net/
Bridal,Zexy Koimusubi(online dating service),https://zexy-koimusubi.net/
Bridal,Zexy Enmusubi(matchmaking service),http://www.recruit-rgf.com/service/bridal/enmusubi.html
Bridal,Zexy Wedding Consulting Counter,http://zexy.net/navi/
Automobiles,Used Cars,http://www.recruit-rgf.com/service/automobiles/
Automobiles,Premium Cars,http://www.recruit-rgf.com/service/automobiles/
Used Cars,Car Sensor,http://www.carsensor.net/
Used Cars,D-Ucar.net,D-Ucar.net
Premium Cars,Car Sensor Edge,http://www.carsensor-edge.net/
Dining,Hot Pepper Gourmet,http://www.hotpepper.jp/
Dining,Quandoo,https://www.quandoo.de/
Life & Local Info,Discount Tickets / Mail Order,http://www.recruit-rgf.com/service/local_life/
Life & Local Info,Qualifications / Lessons,http://www.recruit-rgf.com/service/local_life/
Life & Local Info,Life and Local Info,http://www.recruit-rgf.com/service/local_life/
Discount Tickets / Mail Order,Marqrel,http://www.marqrel.jp/
Discount Tickets / Mail Order,Ponpare Mall,http://www.ponparemall.com/
Discount Tickets / Mail Order,Ponpare,http://ponpare.jp/
Discount Tickets / Mail Order,Eruca,http://eruca.jp/
Discount Tickets / Mail Order,FunCart,http://fcart.jp/
Discount Tickets / Mail Order,Ninsugu,http://www.recruit-rgf.com/service/local_life/ninsugu.html
Discount Tickets / Mail Order,Akasugu,http://akasugu.fcart.jp/
Qualifications / Lessons,Ryori Sapuri,https://ryorisapuri.jp/about
Qualifications / Lessons,Shikaku Sapuri,https://shikakusapuri.jp/
Qualifications / Lessons,Tsushin-koza Daijiten,http://www.recruit-rgf.com/service/local_life/tkdaijiten.html
Qualifications / Lessons,Oshieru Manaberu,http://oshierumanaberu.net/
Qualifications / Lessons,Keiko-to-Manabu,http://www.keikotomanabu.net/
Life and Local Info,Tabroom,http://tabroom.jp/
Life and Local Info,Hot Pepper,http://www.recruit-rgf.com/service/local_life/hotpepper.html
Life and Local Info,RecoCheck,http://recocheck.jp/
Life and Local Info,Omise-no-Mikita,http://omisenomikata.jp/
Life and Local Info,Insurance channel,https://hokench.com/
